"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115137856",837.722347044338,4.31303929747854,0.780682873109853,5.52470080494726,3.30047561922537e-08,0.000149609206728345,"equistatin-like","gonad"
"LOC115137857",204.858418933411,3.7209417973623,0.854257329157535,4.35576221632406,1.32604667337213e-05,0.00222923179645781,"ladderlectin-like","gonad"
"LOC115143451",21.0548421149284,3.022204955944,0.58791802071757,5.1405210411059,2.73977639189375e-07,0.000336519162199981,"centromere protein S-like","gonad"
"LOC115139209",32.6667886820096,2.94860996879643,0.669614384674458,4.40344478297004,1.06545411104161e-05,0.00218255135766116,"sterile alpha motif domain-containing protein 15-like, transcript variant X2","gonad"
"LOC115125542",81.0734740618532,2.79396949300533,0.644568574380654,4.3346349854086,1.46002177411191e-05,0.00238108734339215,"calcyphosin-like protein, transcript variant X1","gonad"
"LOC115138857",272.587001677974,2.76752844491151,0.795386728413399,3.47947526159011,0.00050239675092432,0.0135939126822384,"ladderlectin-like","gonad"
"LOCNA.995",48.4239423871623,2.53396954622129,0.592456685587692,4.27705452206636,1.89382431834768e-05,0.00254698328325336,NA,"gonad"
"LOC115112426",197.66563369121,2.48405364114774,0.452829658574139,5.48562487927464,4.1201037323294e-08,0.000149609206728345,"serum amyloid A-5 protein-like","gonad"
"LOCNA.203",34.9954783027648,2.47830826348394,0.549428102890633,4.51070531420789,6.46124290966862e-06,0.00189210203657973,NA,"gonad"
"LOC115112427",278.917581430526,2.43181259827421,0.448540465031583,5.42161251405261,5.90638026138484e-08,0.000164779347385076,"serum amyloid A-5 protein-like","gonad"
"LOC115105764",862.14369134894,2.42604849159647,0.590566637469729,4.10800126128158,3.99097925409616e-05,0.00389177933170212,"neurofibromin-like","gonad"
"LOC115138859",889.329682897914,2.42451337007598,0.740793350437767,3.27286060092634,0.00106464970756668,0.021429911408626,"ladderlectin-like","gonad"
"LOC115141814",21.6863473392673,2.40936654639992,0.59188663526738,4.07065543102102,4.68810490703294e-05,0.00409219864660981,"14-3-3 protein gamma-2-like","gonad"
"LOC115124398",61.8896860679976,2.37457953153752,0.575061328952322,4.12926310983849,3.63927749210134e-05,0.00373081213339251,"thymosin beta-a-like, transcript variant X1","gonad"
"LOCNA.1473",24.7839021223326,2.37392259038242,0.589141496604274,4.02946084101251,5.59049272337162e-05,0.0044941026370534,NA,"gonad"
"LOCNA.2298",33.124463673213,2.3627749893382,0.546237620186976,4.32554423572918,1.52155729543975e-05,0.00239803489488305,NA,"gonad"
"LOC115131920",17.4986242156709,2.30381584267376,0.54421989848592,4.23324440926035,2.30343936814023e-05,0.00291270327633333,"testis-expressed protein 49-like, transcript variant X1","gonad"
"LOCNA.4163",41.7679479335698,2.30253174406791,0.530433815554011,4.34084644785144,1.41934888086783e-05,0.00234269984373057,NA,"gonad"
"LOCNA.1262",30.5465850858778,2.29797815900633,0.541632906064505,4.24268565162223,2.20860699111747e-05,0.00284393393834956,NA,"gonad"
"LOCNA.4556",70.0588804692576,2.27557430419603,0.447503149326839,5.08504645748099,3.67536094647184e-07,0.000392528549083193,NA,"gonad"
"LOC115137859",2236.16054301084,2.14522672384076,0.602444333051792,3.56087128079323,0.000369626258934642,0.0114913259541393,"saxiphilin-like","gonad"
"LOCNA.498",18.5988671979385,2.04001537641435,0.441184765098944,4.62394791886532,3.7650443691037e-06,0.00155359421739652,NA,"gonad"
"LOCNA.4460",73.4510475607318,2.01455438972358,0.49662764834125,4.05646845569764,4.9820287449141e-05,0.00427674417363632,NA,"gonad"
"LOCNA.1597",92.7277085063442,2.00849406532984,0.409176524929889,4.90862486716212,9.17172249232678e-07,0.000756917243503114,NA,"gonad"
"LOC115106396",56.69976475906,1.9751788093338,0.621886275497235,3.17610934210524,0.00149264679133205,0.0257987546771451,"arginase-1-like, transcript variant X1","gonad"
"LOCNA.1650",17.8558342358352,1.9536917631018,0.501464826730397,3.8959696851324,9.78066227513297e-05,0.00597904728172775,NA,"gonad"
"LOC115129963",845.093876435256,1.88470912922156,0.606277689420336,3.10865658115101,0.00187940029845044,0.0299056895869116,"protein S100-B-like","gonad"
