ID,trt,tissue
B01,territorial,liver
B02,territorial,liver
B03,territorial,liver
B04,territorial,liver
B05,territorial,liver
B06,territorial,liver
B07,territorial,liver
B08,territorial,liver
B09,territorial,liver
B10,territorial,liver
B11,territorial,liver
B12,territorial,liver
B13,territorial,liver
B14,territorial,liver
B15,territorial,liver
B16,social,liver
B17,social,liver
B18,social,liver
B19,social,liver
B20,social,liver
B21,social,liver
B22,social,liver
B23,social,liver
B24,social,liver
B25,social,liver
B26,social,liver
B27,social,liver
B28,social,liver
B29,social,liver
B30,social,liver
