"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115112827",73.9283352640066,3.5595669441362,0.328616119254934,0.00107281920464923,0.0651305078435438,"serum amyloid A-5 protein-like","liver"
"LOC115143107",70.0593520219347,2.91509774131584,0.559185401954285,0.188930122215002,0.509765257826691,"uncharacterized LOC115143107, transcript variant X1","liver"
"LOC115138574",64.640341795556,1.57433936228594,0.236797044425375,0.027972228349527,0.232593816290765,"sacsin-like, transcript variant X3","liver"
"LOCNA.2292",119.328697531419,1.11423515849455,0.310471136853249,0.0613334702306934,0.323326800910712,NA,"liver"
"LOC115117925",79.5360811812178,0.944795064292559,0.181743521242138,0.066964489336446,0.334585404242101,"lysozyme C II","liver"
"LOC115122299",289.917971707057,0.93849092810226,0.309495742565152,8.77156522334106e-05,0.0290814747470147,"mannose-binding protein C-like","liver"
"LOC115127642",126.239346903355,0.880281137283984,0.209554947197277,0.337610623199541,0.642854561011802,"lysozyme C II","liver"
"LOC115132763",115.306453899614,0.755089696510923,0.461507141699847,0.00228048111256823,0.0874718206451658,"protein S100-A1-like, transcript variant X1","liver"
"LOC115107125",108.583073596139,0.749360147605349,0.726571054025046,0.00420568020434686,0.107371334664048,"anoctamin-4-like, transcript variant X2","liver"
"LOC115146293",46.7356256965599,0.747219009805966,0.221516229441515,3.08815706051313e-05,0.0266090237591685,"MARCKS-related protein 1-A-like","liver"
"LOC115128224",85.0745774021184,0.677732320630117,0.343577057565292,0.00139066898917643,0.0676872164904322,"ATPase inhibitor A, mitochondrial-like","liver"
"LOC115108050",229.733258146963,0.669109477766743,0.308552392889264,0.000927862050927829,0.0614674632399085,"kinesin-like protein KIF14, transcript variant X1","liver"
"LOC115131673",100.828268389963,0.662491564383376,0.177226388458337,8.22039500802449e-06,0.0266090237591685,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115103576",155.560057498132,0.662169354181228,0.271999041817457,0.000517085627290488,0.0524348943481573,"dispanin subfamily A member 2b-like","liver"
"LOC115123160",252.12253219629,0.641692459059137,0.315748588509448,0.00127354098618689,0.0670100982935273,"ferritin, middle subunit-like","liver"
"LOC115123393",64.7158361251913,0.631482248022347,0.190387114512475,0.0837601518503055,0.36974966172543,"COP9 signalosome complex subunit 1-like","liver"
"LOC115140820",44.8772531554541,0.619904842055147,0.254643129733792,0.000514333619575985,0.0524348943481573,"zinc finger MYM-type protein 1-like, transcript variant X1","liver"
"LOC115122168",47.333644407078,0.61955951085813,0.296634301194808,0.00113298286673456,0.0652607246375667,"transcription factor jun-B-like","liver"
"LOC115133286",1165.23663080331,0.6101130567784,0.180897711021352,0.0417499456265914,0.274093247683413,"40S ribosomal protein S4","liver"
"LOC115103957",358.411584845549,0.604769593293213,0.539272757972683,0.00442724224139247,0.108269851317313,"cathepsin S-like","liver"
"LOC115115591",159.659982995134,0.603586309563036,0.26632543557573,0.000784378204735364,0.0562441821506916,"dispanin subfamily A member 2b-like","liver"
"LOC115110057",3360.3129211003,0.602953150372898,0.282433692197318,0.00116646202682549,0.0658584460345674,"ferritin, middle subunit-like","liver"
"LOCNA.2988",103.888393846575,0.588099086204991,0.180121129342064,4.74585435868906e-05,0.0266090237591685,NA,"liver"
"LOC115122904",1451.66527029585,0.586522126786402,0.173269760802944,0.0265067226953352,0.227788365811054,"40S ribosomal protein S4-like","liver"
"LOC115123568",154.235709163636,0.584187894835787,0.432277251881951,0.00365693180242208,0.103727209315883,"ferritin, middle subunit-like, transcript variant X2","liver"
"LOC115134326",114.47635109517,0.583658585605727,0.382681845926436,0.00296964366110862,0.0963598167276969,"heat shock factor-binding protein 1-like","liver"
"LOC115123161",148.108566323141,0.569361663701503,0.173815823968621,4.69505305267503e-05,0.0266090237591685,"ferritin, middle subunit-like","liver"
"LOC115133295",217.205891168774,0.565086975931546,0.171625233478534,4.46044153190487e-05,0.0266090237591685,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115125749",80.1559409703033,0.556783837255989,0.395035611078092,0.00353349616689915,0.102308304401603,"trypsinogen-like protein 3","liver"
"LOC115141395",103.474588566078,0.550391300661263,0.419477466201447,0.0038961084984213,0.105750221684497,"NADP-dependent malic enzyme-like","liver"
"LOC115102635",163.755141995053,0.538311693792858,0.224446438461843,0.000612677198691564,0.0524348943481573,"keratin, type I cytoskeletal 18-like","liver"
"LOCNA.2103",683.925896584146,0.535762730832607,0.226956099971056,0.000676464543691546,0.0537932227279221,NA,"liver"
"LOC115117313",95.6016421759522,0.5320615820246,0.366752501803682,0.00343687693021025,0.101594801821817,"HMG domain-containing protein 4-like, transcript variant X1","liver"
"LOC115105984",82.9916507740992,0.519888196274687,0.216763131659439,0.000612947755398226,0.0524348943481573,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-like","liver"
"LOC115106387",42.5959204661262,0.515997747567721,0.167240282286281,9.27145847407481e-05,0.0290814747470147,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115125161",136.916425934153,0.512594506188987,0.160160304123775,6.41241551715835e-05,0.0278496138537508,"60S ribosomal protein L32-like","liver"
"LOC115135536",522.407341118967,0.511868008056807,0.207508915447634,0.000540762169243134,0.0524348943481573,"V-type proton ATPase catalytic subunit A-like","liver"
"LOC115111051",44.605940740642,0.486119065160476,0.198482175835602,0.000565660806018258,0.0524348943481573,"28S ribosomal protein S36, mitochondrial-like, transcript variant X1","liver"
"LOC115134971",51.3612023673969,0.480219533516613,0.187400789558404,0.000435056733348684,0.051347224138231,"voltage-dependent anion-selective channel protein 2-like","liver"
"LOC115128702",153.550384216592,0.477784148623484,0.134414291420276,1.93122531445321e-05,0.0266090237591685,"26S proteasome complex subunit SEM1","liver"
"LOCNA.729",142.98283190015,0.475577368239393,0.215071033537179,0.00101989124203437,0.063278087390396,NA,"liver"
"LOC115111714",43.1851323603949,0.474710200934908,0.184568490659292,0.000430856022940334,0.051347224138231,"septin-2-like","liver"
"LOC115145095",311.162069601426,0.474097381123075,0.178463733070135,0.000342005297517829,0.051347224138231,"proteasome subunit beta type-5-like","liver"
"LOCNA.1101",48.068698233484,0.471911571586542,0.201844204961926,0.000787059918913515,0.0562441821506916,NA,"liver"
"LOC115126268",41.4278903802288,0.47141024171647,0.368788249532047,0.00452638726660449,0.109213600458329,"ferritin, middle subunit-like","liver"
"LOC115125976",519.08057814341,0.470226373085554,0.198018011947018,0.000709096730803452,0.0541021640826526,"60S ribosomal protein L3","liver"
"LOCNA.655",94.898061111777,0.46959868714658,0.230964585823651,0.00147956386301205,0.0707933692420848,NA,"liver"
"LOC115123569",173.917895044511,0.461701622109545,0.286155532910873,0.00307515279144808,0.0987738039047335,"ferritin, middle subunit-like, transcript variant X1","liver"
"LOCNA.2899",40.6520178902742,0.461147194026198,0.237424160084371,0.00174127994581828,0.0768067701100784,NA,"liver"
